标题,价格(元/月),面积,片区,lng,lat,nearest_station_id,distance_km
整租·江南名邸 2室2厅 南,6500,97.27㎡,闵行-莘庄南广场-江南名邸,121.396432,31.108566,5号线,1.0931
整租·高兴花园二三四街坊 1室1厅 东南,3800,47.94㎡,闵行-春申-高兴花园二三四街坊,121.404495,31.112327,1号线,1.4494
整租·永德宝邸（北区） 1室2厅 南,4500,69.00㎡,闵行-吴泾-永德宝邸（北区）,121.442177,31.042894,15号线,0.4268
整租·万科朗润园 1室1厅 南,5200,50.14㎡,闵行-七宝-万科朗润园,121.341066,31.152834,市域机场线,0.7044
整租·润雅苑 2室2厅 南/北,4600,90.00㎡,闵行-华漕-润雅苑,121.283365,31.23348,13号线,3.5236
整租·秀枫翠谷 1室1厅 南,5500,59.48㎡,闵行-七宝-秀枫翠谷,121.436307,31.188334,1号线,0.6212
整租·银都新村(1至7区) 2室1厅 南,4410,47.66㎡,闵行-莘庄南广场-银都新村(1至7区),121.395561,31.094471,5号线,0.7605
整租·馨盛佳苑 1室1厅 南,4500,60.00㎡,闵行-华漕-馨盛佳苑,121.289053,31.214049,17号线,2.5091
整租·西湖苑 1室1厅 南,3700,37.95㎡,闵行-莘庄北广场-西湖苑,121.436307,31.188334,1号线,0.6212
整租·永康城永锦苑 2室1厅 南,3400,73.00㎡,闵行-浦江-永康城永锦苑,121.502778,31.029364,浦江线,2.1287
整租·龙柏易居公寓 2室1厅 南,7590,87.00㎡,闵行-龙柏-龙柏易居公寓,121.364932,31.175249,10号线,0.559
整租·金坤花园 1室0厅 南,3413,41.65㎡,闵行-金汇-金坤花园,121.436307,31.188334,1号线,0.6212
整租·西郊庄园马德里洋房 1室2厅 东南/南,7350,90.58㎡,闵行-华漕-西郊庄园马德里洋房,121.290698,31.201288,17号线,1.0885
整租·莘松三村 1室1厅 南/北,2800,39.79㎡,闵行-莘庄北广场-莘松三村,121.436307,31.188334,1号线,0.6212
整租·爱博二村 1室1厅 南,4700,55.86㎡,闵行-华漕-爱博二村,121.305949,31.206482,17号线,1.8556
整租·江锦南苑江锦北苑 2室1厅 南,6860,91.30㎡,闵行-浦江-江锦南苑江锦北苑,121.486422,31.118745,市域机场线,0.8096
整租·臻澜苑 2室2厅 南,6000,95.54㎡,闵行-老闵行-臻澜苑,121.417971,31.008671,5号线,0.6367
整租·闵浦新苑四村 2室2厅 南,4000,94.00㎡,闵行-闵浦-闵浦新苑四村,121.532988,31.0622,浦江线,0.8611
整租·上海华府天地 4室2厅 南,6000,272.76㎡,闵行-马桥-上海华府天地,121.365069,31.041207,5号线,4.3156
整租·万科时一区(二期） 1室1厅 南,6500,57.16㎡,闵行-华漕-万科时一区(二期）,121.31106,31.203422,17号线,1.2851
整租·沁春园二村 3室1厅 南,4700,84.65㎡,闵行-莘庄南广场-沁春园二村,121.378081,31.097366,5号线,0.7446
整租·龙柏井亭公寓 2室1厅 南,8500,81.39㎡,闵行-龙柏-龙柏井亭公寓,121.367644,31.172693,10号线,0.4289
整租·梅香苑西苑 2室2厅 南/北,6800,86.46㎡,闵行-梅陇-梅香苑西苑,121.412822,31.14129,1号线,0.1599
整租·金铭文博水景苑 1室1厅 南,4500,51.82㎡,闵行-颛桥-金铭文博水景苑,121.405111,31.06629,5号线,0.3197
整租·金坤花园 1室0厅 南,4300,34.56㎡,闵行-金汇-金坤花园,121.436307,31.188334,1号线,0.6212
整租·金美苑 2室1厅 南,5200,73.00㎡,闵行-七宝-金美苑,121.343655,31.151478,9号线,0.6782
整租·爱博一村 1室1厅 南,3500,56.51㎡,闵行-华漕-爱博一村,121.31115,31.207346,17号线,1.6536
整租·新华小区（龙吴路5599弄） 2室1厅 南,4200,81.28㎡,闵行-吴泾-新华小区（龙吴路5599弄）,121.466848,31.039223,15号线,2.257
